id,county_id,calendar_year,base_estimate,population_estimate,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,residual,gq_base_estimate,gq_estimate
10487,11615,2020,14182,14154,-28,49,51,,0,-25,-25,-1,395,395
10488,11616,2020,25656,25627,-29,71,103,,0,4,4,-1,189,189
10489,11617,2020,171415,171842,427,474,569,,2,520,522,0,6081,6081
10490,11618,2020,65318,65351,33,218,120,,-2,-68,-70,5,2877,2877
10491,11619,2020,49671,49606,-65,116,127,,0,-53,-53,-1,3717,3717
10492,11620,2020,207047,206842,-205,730,552,,4,-393,-389,6,3489,3489
10493,11621,2020,2489,2474,-15,10,10,,0,-15,-15,0,128,128
10494,11622,2020,97668,97660,-8,217,216,,0,-5,-5,-4,2298,2298
10495,11623,2020,271717,272737,1020,764,580,,2,830,832,4,4305,4305
10496,11624,2020,19925,19849,-76,43,82,,0,-36,-36,-1,1664,1664
10497,11625,2020,44520,44517,-3,86,158,,1,74,75,-6,338,338
10498,11626,2020,53465,53565,100,141,181,,0,142,142,-2,515,515
10499,11627,2020,95263,95077,-186,196,327,,2,-42,-40,-15,2704,2704
10500,11628,2020,2193,2184,-9,5,11,,0,-2,-2,-1,55,55
10501,11629,2020,33609,33440,-169,64,140,,0,-92,-92,-1,2562,2562
10502,11630,2020,9157,9151,-6,21,24,,0,-2,-2,-1,350,350
10503,11631,2020,53272,53306,34,111,239,,-1,171,170,-8,682,682
10504,11632,2020,174788,175528,740,401,387,,5,716,721,5,4004,4004
10505,11633,2020,12665,12619,-46,36,53,,0,-27,-27,-2,107,107
10506,11634,2020,24272,24327,55,32,40,,3,62,65,-2,249,249
10507,11635,2020,7782,7750,-32,11,18,,0,-25,-25,0,69,69
10508,11637,2020,64394,64488,94,133,113,,-1,74,73,1,4205,4205
10509,11638,2020,17043,16996,-47,47,54,,0,-38,-38,-2,178,178
10510,11639,2020,133001,133080,79,270,468,,-1,283,282,-5,4031,4031
10511,11640,2020,145310,146986,1676,411,334,,1,1581,1582,17,1183,1183
10512,11641,2020,40685,40503,-182,130,148,,0,-166,-166,2,696,696
10513,11642,2020,92701,92920,219,234,257,,0,237,237,5,6263,6263
10514,11643,2020,41668,41697,29,121,148,,0,57,57,-1,563,563
10515,11645,2020,4949,4927,-22,9,27,,0,-3,-3,-1,29,29
10516,11647,2020,58535,58591,56,94,135,,0,103,103,-6,463,463
10517,11648,2020,321905,322424,519,915,1108,,10,701,711,1,17734,17734
10518,11649,2020,2162,2138,-24,3,10,,0,-16,-16,-1,29,29
10519,11651,2020,43063,43033,-30,85,137,,0,27,27,-5,612,612
10520,11652,2020,172706,173541,835,414,354,,-1,769,768,7,1767,1767
10521,11653,2020,2405464,2395791,-9673,6483,4282,,-22,-11879,-11901,27,29090,29090
10522,11654,2020,16232,16202,-30,39,63,,0,-6,-6,0,2127,2127
10523,11655,2020,2616,2610,-6,7,20,,0,7,7,0,13,13
10524,11656,2020,1663,1657,-6,4,4,,0,-7,-7,1,79,79
10525,11657,2020,5290,5288,-2,12,16,,0,2,2,0,1072,1072
10526,11658,2020,28259,28309,50,81,79,,0,47,47,1,2531,2531
10527,11659,2020,47931,47890,-41,100,163,,0,27,27,-5,3000,3000
10528,11660,2020,49532,49433,-99,141,167,,0,-72,-72,-1,820,820
10529,11661,2020,2023,2017,-6,4,6,,0,-4,-4,0,0,0
10530,11662,2020,20945,20880,-65,49,60,,0,-53,-53,-1,2435,2435
10531,11663,2020,7684,7671,-13,17,35,,0,6,6,-1,5,5
10532,11664,2020,19394,19409,15,37,95,,0,76,76,-3,180,180
10533,11665,2020,18968,18954,-14,60,55,,0,-19,-19,0,948,948
10534,11666,2020,15766,15724,-42,35,58,,0,-18,-18,-1,151,151
10535,11667,2020,25434,25542,108,64,81,,-1,125,124,1,2961,2961
10536,11668,2020,865,867,2,0,5,,0,6,6,1,0,0
10537,11669,2020,62613,62662,49,160,217,,-1,108,107,-1,659,659
10538,11670,2020,158163,158092,-71,336,650,,-1,256,255,-12,2562,2562
10539,11671,2020,113777,113953,176,330,270,,-2,114,112,4,2561,2561
10540,11672,2020,8226,8252,26,21,21,,1,25,26,0,1177,1177
10541,11673,2020,59664,59462,-202,130,260,,0,-67,-67,-5,1078,1078
10542,11674,2020,24722,24733,11,75,100,,0,38,38,-2,181,181
10543,11675,2020,43474,43510,36,82,187,,0,144,144,-3,2287,2287
10544,11676,2020,84148,83882,-266,219,319,,0,-163,-163,-3,3515,3515
10545,11677,2020,134310,134113,-197,326,434,,0,-85,-85,-4,4121,4121
10546,11678,2020,1446,1452,6,2,5,,0,9,9,0,12,12
