id,iso2_region_code,iso3_region_code,code3,fips,county,state_or_province,country_or_region,latitude,longitude
10238,US,USA,840,5145.0,White,Arkansas,US,35.25688493,-91.74908296
10239,US,USA,840,31177.0,Washington,Nebraska,US,41.52815707,-96.22019892
10240,US,USA,840,17043.0,DuPage,Illinois,US,41.85116968,-88.08642662
10241,US,USA,840,48467.0,Van Zandt,Texas,US,32.56483801,-95.83766469
10242,US,USA,840,8009.0,Baca,Colorado,US,37.31940883,-102.5603223
10243,US,USA,840,13059.0,Clarke,Georgia,US,33.95436462,-83.37124007
10244,US,USA,840,17167.0,Sangamon,Illinois,US,39.75836914,-89.65872023
10245,US,USA,840,17047.0,Edwards,Illinois,US,38.41353228,-88.05720863
10246,US,USA,840,22037.0,East Feliciana,Louisiana,US,30.84425359,-91.04976723
10247,US,USA,840,31055.0,Douglas,Nebraska,US,41.29518299,-96.15085305
10248,US,USA,840,37145.0,Person,North Carolina,US,36.38989032,-78.97217358
10249,US,USA,840,46055.0,Haakon,South Dakota,US,44.29299053,-101.539099
10250,US,USA,840,32009.0,Esmeralda,Nevada,US,37.78436681,-117.63199990000001
10251,US,USA,840,42127.0,Wayne,Pennsylvania,US,41.64938475,-75.29956506
10252,US,USA,840,8093.0,Park,Colorado,US,39.120926000000004,-105.7182065
10253,US,USA,840,37055.0,Dare,North Carolina,US,35.66520691,-75.71767334
10254,US,USA,840,17059.0,Gallatin,Illinois,US,37.76430935,-88.22953869
10255,US,USA,840,19159.0,Ringgold,Iowa,US,40.73518949,-94.24368535
10256,US,USA,840,31111.0,Lincoln,Nebraska,US,41.04658298,-100.74753740000001
10257,US,USA,840,8031.0,Denver,Colorado,US,39.76018276,-104.87256950000001
10258,US,USA,840,21099.0,Hart,Kentucky,US,37.29943898,-85.88461055
10259,US,USA,840,48451.0,Tom Green,Texas,US,31.40464436,-100.46244300000001
10260,US,USA,840,8005.0,Arapahoe,Colorado,US,39.64977461,-104.3353617
10261,US,USA,840,46097.0,Miner,South Dakota,US,44.02197882,-97.60992207
10262,US,USA,840,29047.0,Clay,Missouri,US,39.31132056,-94.41850862
10263,US,USA,840,1099.0,Monroe,Alabama,US,31.56729412,-87.36995001
10264,PR,PRI,630,72025.0,Caguas,Puerto Rico,US,18.211615,-66.050779
10265,US,USA,840,38055.0,McLean,North Dakota,US,47.60766714,-101.3182418
10266,US,USA,840,24001.0,Allegany,Maryland,US,39.62357628,-78.69280486
10267,US,USA,840,51071.0,Giles,Virginia,US,37.31234791,-80.70636931
10268,US,USA,840,56027.0,Niobrara,Wyoming,US,43.05607708,-104.47588959999999
10269,US,USA,840,13147.0,Hart,Georgia,US,34.34626973,-82.96567682
10270,US,USA,840,30091.0,Sheridan,Montana,US,48.72085833,-104.50382900000001
10271,US,USA,840,38015.0,Burleigh,North Dakota,US,46.97847375,-100.46452140000001
10272,US,USA,840,80046.0,Out of SD,South Dakota,US,0,0
10273,US,USA,840,19115.0,Louisa,Iowa,US,41.21842119,-91.26102611
10274,US,USA,840,26147.0,St. Clair,Michigan,US,42.92655373,-82.67937954
10275,US,USA,840,51045.0,Craig,Virginia,US,37.48133648,-80.21072274
10276,US,USA,840,48037.0,Bowie,Texas,US,33.44626922,-94.41834132
10277,US,USA,840,51167.0,Russell,Virginia,US,36.93028320000001,-82.10095486
10278,US,USA,840,5137.0,Stone,Arkansas,US,35.86251946,-92.15684085
10279,PR,PRI,630,72013.0,Arecibo,Puerto Rico,US,18.406631,-66.675077
10280,US,USA,840,5059.0,Hot Spring,Arkansas,US,34.31709259,-92.95396325
10281,US,USA,840,13291.0,Union,Georgia,US,34.82995757,-83.98967069
10282,US,USA,840,6059.0,Orange,California,US,33.70147516,-117.76459979999998
10283,US,USA,840,47043.0,Dickson,Tennessee,US,36.14669837,-87.35891709
10284,US,USA,840,16049.0,Idaho,Idaho,US,45.84721541,-115.4634436
10285,US,USA,840,54101.0,Webster,West Virginia,US,38.49370949,-80.4202023
10286,US,USA,840,31151.0,Saline,Nebraska,US,40.52418865,-97.14085859
10287,US,USA,840,56023.0,Lincoln,Wyoming,US,42.26376367,-110.6563997
10288,US,USA,840,1073.0,Jefferson,Alabama,US,33.55554728,-86.89506300000002
10289,US,USA,840,90030.0,Unassigned,Montana,US,0,0
10290,US,USA,840,51047.0,Culpeper,Virginia,US,38.48199985,-77.95630870000002
10291,US,USA,840,51073.0,Gloucester,Virginia,US,37.40809042,-76.53524337
10292,US,USA,840,,Dukes and Nantucket,Massachusetts,US,41.40674725,-70.68763497
10293,US,USA,840,48279.0,Lamb,Texas,US,34.06859623,-102.35162890000001
10294,US,USA,840,27147.0,Steele,Minnesota,US,44.02240351,-93.22627088
10295,US,USA,840,6017.0,El Dorado,California,US,38.77965956,-120.5233166
10296,US,USA,840,13227.0,Pickens,Georgia,US,34.46589159,-84.46406611
10297,US,USA,840,39007.0,Ashtabula,Ohio,US,41.70860332,-80.74830218
10298,US,USA,840,28103.0,Noxubee,Mississippi,US,33.11009499,-88.56949061
10299,US,USA,840,18037.0,Dubois,Indiana,US,38.36597551,-86.87924170000002
10300,US,USA,840,17067.0,Hancock,Illinois,US,40.40423981,-91.16313899
10301,US,USA,840,80044.0,Out of RI,Rhode Island,US,0,0
10302,US,USA,840,31005.0,Arthur,Nebraska,US,41.56896142,-101.6959559
10303,US,USA,840,8007.0,Archuleta,Colorado,US,37.19474156,-107.04768670000001
10304,US,USA,840,80006.0,Out of CA,California,US,0,0
10305,US,USA,840,28121.0,Rankin,Mississippi,US,32.26469147,-89.94537876
10306,US,USA,840,18165.0,Vermillion,Indiana,US,39.8523352,-87.46160542
10307,US,USA,840,39079.0,Jackson,Ohio,US,39.01914254,-82.61818559999998
10308,US,USA,840,13103.0,Effingham,Georgia,US,32.36616021,-81.34280942
10309,US,USA,840,48161.0,Freestone,Texas,US,31.70422788,-96.15072516
10310,VI,VIR,850,78.0,,Virgin Islands,US,18.3358,-64.8963
10311,US,USA,840,37177.0,Tyrrell,North Carolina,US,35.87147226,-76.17055253
10312,US,USA,840,45045.0,Greenville,South Carolina,US,34.89502264,-82.37295012
10313,US,USA,840,90048.0,Unassigned,Texas,US,0,0
10314,US,USA,840,21167.0,Mercer,Kentucky,US,37.81474237,-84.87488475
10315,US,USA,840,2070.0,Dillingham,Alaska,US,59.79603738,-158.23819419999995
10316,US,USA,840,31025.0,Cass,Nebraska,US,40.90899107,-96.13971217
10317,US,USA,840,8101.0,Pueblo,Colorado,US,38.17359144,-104.5127437
10318,US,USA,840,38033.0,Golden Valley,North Dakota,US,46.94022281,-103.8465421
10319,US,USA,840,54105.0,Wirt,West Virginia,US,39.02775007,-81.37473928
10320,US,USA,840,17063.0,Grundy,Illinois,US,41.28569601,-88.41905692
10321,US,USA,840,26045.0,Eaton,Michigan,US,42.59599185,-84.83740035
10322,US,USA,840,21237.0,Wolfe,Kentucky,US,37.73941626,-83.49303612
10323,US,USA,840,13205.0,Mitchell,Georgia,US,31.22483255,-84.19381821
10324,US,USA,840,18139.0,Rush,Indiana,US,39.62002287,-85.4655599
10325,US,USA,840,20099.0,Labette,Kansas,US,37.19113093,-95.29849679
10326,US,USA,840,47127.0,Moore,Tennessee,US,35.27724699,-86.36230578
10327,US,USA,840,80050.0,Out of VT,Vermont,US,0,0
10328,US,USA,840,5009.0,Boone,Arkansas,US,36.3084504,-93.09374925
10329,PR,PRI,630,72137.0,Toa Baja,Puerto Rico,US,18.431445999999998,-66.213553
10330,US,USA,840,36107.0,Tioga,New York,US,42.16852837,-76.30835812
10331,US,USA,840,45079.0,Richland,South Carolina,US,34.01791263,-80.90267209
10332,US,USA,840,27071.0,Koochiching,Minnesota,US,48.24539665,-93.78352843
10333,US,USA,840,19003.0,Adams,Iowa,US,41.02903567,-94.69932645
10334,US,USA,840,40021.0,Cherokee,Oklahoma,US,35.90692775,-94.99980896
10335,US,USA,840,17107.0,Logan,Illinois,US,40.12581572,-89.36638784
10336,US,USA,840,37173.0,Swain,North Carolina,US,35.48665845,-83.48748932
10337,US,USA,840,53061.0,Snohomish,Washington,US,48.04615983,-121.7170703
10338,US,USA,840,13079.0,Crawford,Georgia,US,32.71391813,-83.98061238
10339,US,USA,840,1071.0,Jackson,Alabama,US,34.78144169,-85.99750489
10340,US,USA,840,37191.0,Wayne,North Carolina,US,35.36438125,-78.00027268
10341,US,USA,840,45019.0,Charleston,South Carolina,US,32.82487866,-79.96512315
10342,US,USA,840,90037.0,Unassigned,North Carolina,US,0,0
10343,US,USA,840,56011.0,Crook,Wyoming,US,44.58855102,-104.56977049999999
10344,US,USA,840,27047.0,Freeborn,Minnesota,US,43.67385583,-93.34884422
10345,US,USA,840,13023.0,Bleckley,Georgia,US,32.43829035,-83.33035166
10346,US,USA,840,13005.0,Bacon,Georgia,US,31.55456473,-82.45936528
10347,US,USA,840,27067.0,Kandiyohi,Minnesota,US,45.1526059,-95.00586446
10348,US,USA,840,51620.0,Franklin City,Virginia,US,36.6831435,-76.93859681
10349,US,USA,840,2105.0,Hoonah-Angoon,Alaska,US,58.29307365,-135.64244240000002
10350,US,USA,840,37195.0,Wilson,North Carolina,US,35.70625477,-77.917978
10351,US,USA,840,4005.0,Coconino,Arizona,US,35.83883429,-111.77071780000001
10352,US,USA,840,31065.0,Furnas,Nebraska,US,40.17642064,-99.91247454
10353,US,USA,840,13233.0,Polk,Georgia,US,34.00267074,-85.18677781
10354,US,USA,840,21211.0,Shelby,Kentucky,US,38.21476019,-85.194223
10355,US,USA,840,16057.0,Latah,Idaho,US,46.81587887,-116.71136979999999
10356,US,USA,840,6049.0,Modoc,California,US,41.58965602,-120.7244817
10357,PR,PRI,630,72037.0,Ceiba,Puerto Rico,US,18.251818,-65.666416
10358,US,USA,840,2158.0,Kusilvak,Alaska,US,62.15429159999999,-163.39678830000003
10359,US,USA,840,17003.0,Alexander,Illinois,US,37.18049267,-89.32910838
10360,US,USA,840,18059.0,Hancock,Indiana,US,39.82304555,-85.77566351
10361,US,USA,840,37079.0,Greene,North Carolina,US,35.48544173,-77.67578087
